1688297210.377497 client started (11719): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1688297210.377547 on Darwin 22.5.0 Darwin Kernel Version 22.5.0: Thu Jun  8 22:22:19 PDT 2023; root:xnu-8796.121.3~7/RELEASE_ARM64_T8103
1688297210.378392 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1688297210.384745 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384751 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384758 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384763 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384768 sending message 112 to peer 0x128048000 (10 bytes)
1688297210.384774 sending message 112 to peer 0x128048000 (9 bytes)
1688297210.384780 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384785 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384791 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384797 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384803 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384809 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384815 sending message 112 to peer 0x128048000 (9 bytes)
1688297210.384820 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384826 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384831 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384845 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384852 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384856 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384862 sending message 112 to peer 0x128048000 (11 bytes)
1688297210.384866 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384871 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384876 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384883 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384889 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384895 sending message 112 to peer 0x128048000 (13 bytes)
1688297210.384901 sending message 112 to peer 0x128048000 (11 bytes)
1688297210.384906 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384912 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384919 sending message 112 to peer 0x128048000 (12 bytes)
1688297210.384924 sending message 112 to peer 0x128048000 (12 bytes)
